basic_trend_following,basic_mean_reversion,basic_breakout,basic_momentum,portfolio_enhanced_momentum,portfolio_enhanced_trend,portfolio_enhanced_breakout,portfolio_enhanced_mean_reversion
100302575.20831805,104188121.37444948,100129307.1765545,100328442.04736407,1001659.4770564281,1157101.8467142042,990625.5470765341,1000000.0
100313296.86019291,104276519.39665101,100141580.86724925,100343797.07993375,991701.8690262763,1147178.4515815934,980764.2807965012,1000000.0
100333576.91388203,104191974.16785692,100159320.52655964,100362612.78104164,1010107.655965018,1167428.9433125881,998991.9882486206,1000000.0
100374457.99178748,104390502.94337724,100195487.13031541,100401372.48372295,1044445.9485927591,1205353.7025109048,1032998.0513692517,1000000.0
100404504.97055653,104635137.0537555,100225692.45104139,100436577.12326093,1045042.719195117,1207408.6893901129,1033589.0481026166,1000000.0
100406316.79104482,104659373.83375047,100228161.08183691,100439899.80115478,1040993.8310038155,1203254.3163054301,1029265.5007515944,1000000.0
100361103.58137697,104657783.95980714,100187608.00807977,100396005.9335351,1006671.8213060214,1165139.840768179,995386.4335187363,1000000.0
100344541.92490213,105187174.59788392,100172588.88597137,100379622.65264487,995157.268338424,1152286.3031210809,984084.2240153081,1000000.0
100329649.38270721,104803374.84984468,100158149.4116758,100363159.10796195,990809.0693078116,1147019.131072088,980211.4249170746,1000000.0
100316956.786289,104251425.76781343,100144487.91635062,100346615.69695301,989934.3009897574,1151656.8372072463,986036.6411858769,1000000.0
100284393.8315054,103532529.84468721,100114292.66552044,100313170.40270975,989487.5526506354,1130864.904359097,968294.4418947803,1000000.0
100285261.56630032,103950424.65805314,100113912.31522717,100311864.99178696,989487.5526506354,1130864.904359097,968294.4418947803,1000000.0
100288507.82785895,103585813.46217988,100149467.01963548,100350440.31042375,989487.5526506354,1130864.904359097,968294.4418947803,1000000.0
100283927.82661162,104703683.43904756,100110578.3821445,100305421.97066109,989487.5526506354,1130864.904359097,968294.4418947803,1000000.0
100256630.58731169,104905980.54784463,100073068.25273001,100263919.37146954,989487.5526506354,1130864.904359097,968294.4418947803,1000000.0
100256630.58731169,104871255.0749018,100062775.687708,100251038.4853691,989487.5526506354,1130864.904359097,968294.4418947803,1000000.0
100275467.8102411,105734590.39736071,100076389.31205076,100265338.90314476,989487.5526506354,1130864.904359097,968294.4418947803,996108.769164469
100266120.94046625,105917442.2488829,100083925.99100296,100274928.72044004,989487.5526506354,1122151.6288853234,968294.4418947803,1012248.2781141426
100266120.94046625,106847311.65233313,100070435.36882113,100261537.01414856,989487.5526506354,1096160.1721544154,968294.4418947803,1024628.393792637
100266120.94046625,106981189.06663568,100100006.49235493,100293308.0308281,989487.5526506354,1096160.1721544154,968294.4418947803,1023918.7637486828
100266120.94046625,107384889.86515583,100103310.19974734,100296875.94793934,989487.5526506354,1096160.1721544154,968294.4418947803,1024041.0856193803
100266120.94046625,107082690.90676297,100123809.08081894,100318694.58090086,989487.5526506354,1096160.1721544154,968294.4418947803,1021304.9613568564
100277181.69872749,107171497.14185074,100103097.00674976,100293550.09795079,989487.5526506354,1096160.1721544154,968294.4418947803,990182.0651071925
100269107.63632336,106878824.47637266,100078408.22288917,100265428.81457397,989487.5526506354,1088870.88743179,968294.4418947803,973323.9019220574
100268918.53500621,107394907.58067264,100040318.34161066,100220975.15863729,989487.5526506354,1088700.1662665037,968294.4418947803,935635.0894956596
100276412.058782,107431433.71169646,100027497.09377918,100205353.84487431,989487.5526506354,1095465.3391922866,968294.4418947803,915676.2549190875
100271262.16407332,107315200.0960642,100001149.65490295,100175041.4727841,989487.5526506354,1090816.000737342,968294.4418947803,894302.0998271046
100316085.26507658,107214393.98178075,100044075.05753338,100221254.43738438,989487.5526506354,1131282.4139269358,968294.4418947803,894302.0998271046
100321394.91081676,107171006.82568777,100049169.40457928,100226728.72330254,989487.5526506354,1136075.9760322631,972388.2832436498,894302.0998271046
100340094.32120074,107257374.05517846,100067110.58007589,100246007.9603651,1004161.6278237553,1152957.8527891808,986805.8966166315,894302.0998271046
100348319.64865568,106976448.25508209,100075002.38202879,100254488.33673337,1010616.3272457602,1160383.6999965631,993147.7859423553,894302.0998271046
100329091.75661644,106923790.66451757,100056554.15406746,100234664.23098749,995527.5342084061,1143024.7086146832,978322.7028137087,894302.0998271046
100300526.74322332,106916987.97279714,100029147.41193894,100205213.48074497,973111.5785582312,1117236.1395764123,956298.5153853834,894302.0998271046
100301779.93602078,106656617.328777,100030349.78952459,100206505.53223382,974095.0023635115,1118367.5253220005,957264.751692547,894302.0998271046
100269219.23244165,106754823.67583124,99999109.37684786,100172935.19443518,948543.4901928796,1088971.636700164,932159.8085036208,894302.0998271046
100272724.86760482,106781094.51646838,100002472.86341767,100176549.53146388,948543.4901928796,1088971.636700164,932159.8085036208,894302.0998271046
100240832.02369897,107011385.84593154,99971873.22964036,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,107316387.14416574,99981906.41943079,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,107437756.24033977,99978733.28913078,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,107498251.59848084,99968755.78945638,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,107648096.06978688,99919076.85477322,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,107625307.66686915,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108116979.8678905,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108107255.13907547,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108147369.10236056,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108189216.8871539,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108020260.1634486,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108128367.24961042,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108228770.46584648,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108271914.10053304,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108339653.80942479,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108348778.71355268,99909398.73069328,100176549.53146388,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108267405.46907584,99909398.73069328,100151711.43970104,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108399090.82523635,99909398.73069328,100133746.08672743,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108176514.66454133,99909398.73069328,100130090.37327345,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108242503.68431605,99909398.73069328,100116988.47127537,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108402192.33460918,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108269215.16936088,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108481119.4440885,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108666988.67199677,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108856482.80992451,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,109042992.97535315,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108861060.59481297,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108910927.60130678,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108535900.99059305,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108622787.91694899,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108557190.29893927,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108658644.57040524,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108451669.62249573,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108441929.76654015,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,108014619.35709494,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,107906336.29438326,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100240832.02369897,107723797.17270002,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100271216.04500514,107692308.84208459,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100258011.28963596,107738774.70392668,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100259007.56177081,108144429.85333127,99909398.73069328,100079504.37719235,948543.4901928796,1060254.7647276882,932159.8085036208,894302.0998271046
100220410.61269596,108305111.42735872,99909398.73069328,100079504.37719235,948543.4901928796,1026053.1977538834,932159.8085036208,894302.0998271046
100196310.865707,108435625.2984588,99909398.73069328,100079504.37719235,948543.4901928796,1004697.9059380417,932159.8085036208,894302.0998271046
100202217.74792354,108893098.6502707,99909398.73069328,100079504.37719235,948543.4901928796,1004697.9059380417,932159.8085036208,894302.0998271046
100221035.2529885,108855037.5558869,99909398.73069328,100079504.37719235,948543.4901928796,1021324.6592694673,932159.8085036208,894302.0998271046
100221035.2529885,108460028.63844785,99909398.73069328,100079504.37719235,948543.4901928796,1021324.6592694673,932159.8085036208,894302.0998271046
100221035.2529885,108551695.4013253,99909398.73069328,100112608.60501088,948543.4901928796,1021324.6592694673,932159.8085036208,894302.0998271046
100226350.1859854,108259501.63069068,99909398.73069328,100117253.61182983,948543.4901928796,1021324.6592694673,932159.8085036208,894302.0998271046
100201176.26305385,108150265.39057484,99909398.73069328,100095252.7618201,948543.4901928796,1021324.6592694673,932159.8085036208,894302.0998271046
100211697.22839463,108379509.46126956,99909398.73069328,100104447.6012994,958118.0088607455,1031633.7746282297,932159.8085036208,894302.0998271046
100195566.55664763,108247487.81303465,99909398.73069328,100089666.77656052,943438.4226474636,1015827.9098175495,932159.8085036208,894302.0998271046
100190054.39924856,108380743.23919667,99909398.73069328,100084615.88756303,938422.1287801025,1010426.7451276064,932159.8085036208,894302.0998271046
